wiki_text,groundtruth
"[ORG] is an American company that provides content delivery network (CDN) and internet security services, DDoS protection, and a distributed domain name server system. The CDN offered by the company functions as a reverse proxy between visitors and hosting providers. It achieves network protection, speed enhancement, and improvement for websites and mobile applications through DNS changes. The headquarters is located in San Francisco, California, and the company has offices in the United States (Austin, Champaign, New York, San Jose, Seattle, Washington D.C.), Toronto, Lisbon, Munich, Paris, Beijing, Singapore, Sydney, and Tokyo.","['Internet Infrastructure', 'Cybersecurity']"
"[ORG] is a company that makes computer software and video games. Bill Gates and Paul Allen started the company in 1975.[3] Microsoft makes Microsoft Windows, Microsoft Office (including Microsoft Word), Edge, MSN and Xbox, among others. Most Microsoft programs cannot be downloaded for free–people have to buy them in a shop or online. Some products (like the Windows operating system) are often already installed when people buy a new computer.","['Technological Hardware', 'Software']"
"[ORG] is an IT news site operated by ITmedia Inc., a subsidiary of the SoftBank Group. ITmedia Inc. is under ""SB Media Holdings,"" a pure holding company that oversees media and marketing businesses related to publishing and broadband content, which is part of the SoftBank Group.",['Media']
[ORG] is a Japanese information and communication company. It primarily serves government agencies and businesses by providing security solution services and system integration services.,['IT Services']
"[ORG] is a Japanese company that operates [website], a comparison shopping website, and other services.",['Retail & Distribution']
"[ORG] was an internet company in Japan that was once part of the SoftBank Group. It operated the portal site ""Yahoo! JAPAN"" and generated revenue from advertising on the site, broadband-related businesses, and e-commerce sites such as online auction services.",['Media']
"[ORG] is the oldest in the country, and both its Central House and most of its facilities are located in the Metropolitan Region of Santiago.",['Education']
"[ORG] under US law that promotes free knowledge and free content and is the owner of the world-famous internet portal Wikipedia.",['Media']
" [ORG] is the regional Internet registry for the Latin American and Caribbean regions.",['Internet Infrastructure']
"[ORG] is headquartered in Sakai-ku, Sakai, Osaka Prefecture. Since 2016 it has been majority owned by the Taiwan-based Foxconn Group. Sharp employs more than 50,000 people worldwide.[4][5][6]   ",['Technological Hardware']
[ORG] is a Japanese company that operates in the content business related to information technology.,['Media']
"[ORG] was a U.S. media television company that operated the channels and television groups that were owned by WarnerMedia. It was founded by Robert Edward ""Ted"" Turner in 1970 and was acquired by Time Warner in 1996 (later WarnerMedia and then Warner Bros. Discovery). Its headquarters was located in Atlanta, Georgia, United States. Some of its properties included CNN, TNT, Cartoon Network, and TruTV.",['Media']
[ORG] is a printing company in Japan.,['Services']
[ORG] is a company involved in financial-related businesses within [ORG],['Finance']
"[ORG] is a Japanese company that makes video games and video game consoles. At first, it began by creating playing cards and other toys and games. Their main office is in Kyoto, Japan. They also have offices in other continents.   ","['Technological Hardware', 'Media']"
"[ORG] is a line of laptop computers made by Fujitsu, which also offers a range of notebooks and tablet PCs within the same Lifebook family.   ",['Technological Hardware']
"[ORG] is a Japanese publisher headquartered in Chiyoda, Tokyo. As a comprehensive company in language education, it operates correspondence courses primarily focused on English, publishes teaching materials, and provides web services related to languages.","['Education', 'Media']"
"[ORG] is a public institute in Slovenia, established in May 1992. Its main task is development, operation and management of the communication and information network for education and research. ARNES also operates the Slovenian Internet Exchange.[1]The members of its management board are appointed by the Government of Slovenia.[2][3]",['ISP']
"[ORG] is a core business company within the Toshiba Group, engaged in device businesses such as storage including HDDs, and LSI, excluding the memory business. The headquarters is located at 1-1-1 Shibaura, Minato-ku, Tokyo ([ORG]).",['Technological Hardware']
"[ORG] is a commercial radio station featuring a talk radio format, simulcast with KGTK (920 AM) in Olympia. Licensed to Silverdale, Washington, KITZ serves the Puget Sound Region, including Seattle and Tacoma. KITZ Radio, Inc. is owned by two gun-rights groups: the Second Amendment Foundation and its affiliate, the Citizens Committee for the Right to Keep and Bear Arms. Its main studio and production facilities are on Mile High Drive in Port Orchard.   ",['Media']
